Team Home,Team Away,Result,Real
Juventus,Roma,2–0,1
Juventus,Sampdoria,3–0,1
Juventus,Sassuolo,3–1,1
Juventus,Spezia,3–0,1
Juventus,Torino,2–1,1
Juventus,Udinese,4–1,1
Lazio,Atalanta,1–4,0
Lazio,Verona,1–2,0
Lazio,Udinese,1–3,0
Lazio,Inter,1–1,0.5
Lazio,Juventus,1–1,0.5
Lazio,Torino,0–0,0.5
Lazio,Benevento,5–3,1
Lazio,Bologna,2–1,1
Lazio,Cagliari,1–0,1
Lazio,Crotone,3–2,1
Lazio,Fiorentina,2–1,1
Lazio,Genoa,4–3,1
Lazio,Milan,3–0,1
Lazio,Napoli,2–0,1
Lazio,Parma,1–0,1
Lazio,Roma,3–0,1
Lazio,Sampdoria,1–0,1
Lazio,Sassuolo,2–1,1
Lazio,Spezia,2–1,1
Milan,Atalanta,0–3,0
Milan,Inter,0–3,0
Milan,Juventus,1–3,0
Milan,Napoli,0–1,0
Milan,Sassuolo,1–2,0
Milan,Cagliari,0–0,0.5
Milan,Verona,2–2,0.5
Milan,Parma,2–2,0.5
Milan,Roma,3–3,0.5
Milan,Sampdoria,1–1,0.5
Milan,Udinese,1–1,0.5
Milan,Benevento,2–0,1
Milan,Bologna,2–0,1
Milan,Crotone,4–0,1
Milan,Fiorentina,2–0,1
Milan,Genoa,2–1,1
Milan,Lazio,3–2,1
Milan,Spezia,3–0,1
Milan,Torino,2–0,1
Napoli,Milan,1–3,0
Napoli,Sassuolo,0–2,0
Napoli,Spezia,1–2,0
Napoli,Cagliari,1–1,0.5
Napoli,Verona,1–1,0.5
Napoli,Inter,1–1,0.5
Napoli,Torino,1–1,0.5
Napoli,Atalanta,4–1,1
Napoli,Benevento,2–0,1
Napoli,Bologna,3–1,1
Napoli,Crotone,4–3,1
Napoli,Fiorentina,6–0,1
Napoli,Genoa,6–0,1
Napoli,Juventus,1–0,1
Napoli,Lazio,5–2,1
Napoli,Parma,2–0,1
Napoli,Roma,4–0,1
Napoli,Sampdoria,2–1,1
Napoli,Udinese,5–1,1
Parma,Atalanta,2–5,0
Parma,Bologna,0–3,0
Parma,Crotone,3–4,0
Parma,Genoa,1–2,0
Parma,Inter,1–2,0
Parma,Juventus,0–4,0
Parma,Lazio,0–2,0
Parma,Milan,1–3,0
Parma,Napoli,0–2,0
Parma,Sampdoria,0–2,0
Parma,Sassuolo,1–3,0
Parma,Torino,0–3,0
Parma,Benevento,0–0,0.5
Parma,Cagliari,0–0,0.5
Parma,Fiorentina,0–0,0.5
Parma,Spezia,2–2,0.5
Parma,Udinese,2–2,0.5
Parma,Verona,1–0,1
Parma,Roma,2–0,1
Roma,Milan,1–2,0
Roma,Napoli,0–2,0
Roma,Atalanta,1–1,0.5
Roma,Inter,2–2,0.5
Roma,Juventus,2–2,0.5
Roma,Sassuolo,0–0,0.5
Roma,Benevento,5–2,1
Roma,Bologna,1–0,1
Roma,Cagliari,3–2,1
Roma,Crotone,5–0,1
Roma,Fiorentina,2–0,1
Roma,Genoa,1–0,1
Roma,Verona,3–1,1
Roma,Lazio,2–0,1
Roma,Parma,3–0,1
Roma,Sampdoria,1–0,1
Roma,Spezia,4–3,1
Roma,Torino,3–1,1
Roma,Udinese,3–0,1
Sampdoria,Atalanta,0–2,0
Sampdoria,Benevento,2–3,0
Sampdoria,Bologna,1–2,0
Sampdoria,Juventus,0–2,0
Sampdoria,Milan,1–2,0
Sampdoria,Napoli,0–2,0
Sampdoria,Sassuolo,2–3,0
Sampdoria,Cagliari,2–2,0.5
Sampdoria,Genoa,1–1,0.5
Sampdoria,Spezia,2–2,0.5
Sampdoria,Crotone,3–1,1
Sampdoria,Fiorentina,2–1,1
Sampdoria,Verona,3–1,1
Sampdoria,Inter,2–1,1
Sampdoria,Lazio,3–0,1
Sampdoria,Parma,3–0,1
Sampdoria,Roma,2–0,1
Sampdoria,Torino,1–0,1
Sampdoria,Udinese,2–1,1
Sassuolo,Inter,0–3,0
Sassuolo,Juventus,1–3,0
Sassuolo,Milan,1–2,0
Sassuolo,Spezia,1–2,0
Sassuolo,Atalanta,1–1,0.5
Sassuolo,Bologna,1–1,0.5
Sassuolo,Cagliari,1–1,0.5
Sassuolo,Napoli,3–3,0.5
Sassuolo,Parma,1–1,0.5
Sassuolo,Roma,2–2,0.5
Sassuolo,Torino,3–3,0.5
Sassuolo,Udinese,0–0,0.5
Sassuolo,Benevento,1–0,1
Sassuolo,Crotone,4–1,1
Sassuolo,Fiorentina,3–1,1
Sassuolo,Genoa,2–1,1
Sassuolo,Verona,3–2,1
Sassuolo,Lazio,2–0,1
Sassuolo,Sampdoria,1–0,1
Spezia,Genoa,1–2,0
Spezia,Verona,0–1,0
Spezia,Juventus,1–4,0
Spezia,Lazio,1–2,0
Spezia,Napoli,1–4,0
Spezia,Sassuolo,1–4,0
Spezia,Udinese,0–1,0
Spezia,Atalanta,0–0,0.5
Spezia,Benevento,1–1,0.5
Spezia,Bologna,2–2,0.5
Spezia,Fiorentina,2–2,0.5
Spezia,Inter,1–1,0.5
Spezia,Parma,2–2,0.5
Spezia,Roma,2–2,0.5
Spezia,Cagliari,2–1,1
Spezia,Crotone,3–2,1
Spezia,Milan,2–0,1
Spezia,Sampdoria,2–1,1
Spezia,Torino,4–1,1
Torino,Atalanta,2–4,0
Torino,Cagliari,2–3,0
Torino,Inter,1–2,0
Torino,Lazio,3–4,0
Torino,Milan,0–7,0
Torino,Napoli,0–2,0
Torino,Udinese,2–3,0
Torino,Benevento,1–1,0.5
Torino,Bologna,1–1,0.5
Torino,Crotone,0–0,0.5
Torino,Fiorentina,1–1,0.5
Torino,Genoa,0–0,0.5
Torino,Verona,1–1,0.5
Torino,Juventus,2–2,0.5
Torino,Sampdoria,2–2,0.5
Torino,Spezia,0–0,0.5
Torino,Parma,1–0,1
Torino,Roma,3–1,1
Torino,Sassuolo,3–2,1
Udinese,Benevento,0–2,0
Udinese,Cagliari,0–1,0
