0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Inter,Fiorentina,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65
Inter,Udinese,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,75.0,80.0,75.0,79.0,72.86,74.11,72.33,73.46
Inter,Empoli,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,73.0,72.0,73.0,71.0,69.86,69.13,70.5,69.75
Inter,Torino,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,81.0,78.0,79.0,76.0,73.2,72.3,72.14,72.62
Inter,Verona,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,78.0,78.0,81.0,74.0,74.3,74.33,74.67,74.25
Inter,Sassuolo,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,82.0,77.0,75.0,81.0,71.4,73.56,76.75,73.36
Inter,Venezia,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,74.0,72.0,76.0,70.0,69.78,68.22,70.0,69.22
Inter,Sampdoria,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,82.0,79.0,74.0,78.0,72.0,74.89,76.8,74.22
Inter,Genoa,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,78.0,76.0,76.0,82.0,72.75,72.1,75.33,72.8
Inter,Cagliari,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,80.0,77.0,80.0,81.0,70.13,71.4,76.5,71.88
Inter,Salernitana,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06,74.0,73.0,73.0,73.0,66.8,67.88,69.67,67.79
Roma,Napoli,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67
Roma,Milan,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38
Roma,Inter,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06
Roma,Juventus,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96
Roma,Bologna,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15
Roma,Fiorentina,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65
Roma,Udinese,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05,75.0,80.0,75.0,79.0,72.86,74.11,72.33,73.46
Roma,Empoli,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05,73.0,72.0,73.0,71.0,69.86,69.13,70.5,69.75
Roma,Torino,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05,81.0,78.0,79.0,76.0,73.2,72.3,72.14,72.62
Roma,Verona,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05,78.0,78.0,81.0,74.0,74.3,74.33,74.67,74.25
Roma,Sassuolo,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05,82.0,77.0,75.0,81.0,71.4,73.56,76.75,73.36
Roma,Venezia,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05,74.0,72.0,76.0,70.0,69.78,68.22,70.0,69.22
Roma,Sampdoria,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05,82.0,79.0,74.0,78.0,72.0,74.89,76.8,74.22
Roma,Genoa,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05,78.0,76.0,76.0,82.0,72.75,72.1,75.33,72.8
Roma,Cagliari,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05,80.0,77.0,80.0,81.0,70.13,71.4,76.5,71.88
Roma,Salernitana,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05,74.0,73.0,73.0,73.0,66.8,67.88,69.67,67.79
Juventus,Napoli,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96,86.0,82.0,88.0,79.0,80.44,77.63,81.0,79.67
Juventus,Milan,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96,84.0,84.0,86.0,84.0,80.0,78.89,78.6,79.38
Juventus,Inter,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96,85.0,86.0,86.0,86.0,80.45,81.82,82.5,81.06
Juventus,Roma,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96,83.0,81.0,83.0,82.0,77.25,78.25,78.2,78.05
Juventus,Bologna,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96,81.0,78.0,77.0,75.0,72.44,73.91,72.4,73.15
Juventus,Fiorentina,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96,78.0,80.0,79.0,77.0,74.43,75.6,74.33,74.65
Juventus,Udinese,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96,75.0,80.0,75.0,79.0,72.86,74.11,72.33,73.46
Juventus,Empoli,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96,73.0,72.0,73.0,71.0,69.86,69.13,70.5,69.75
Juventus,Torino,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96,81.0,78.0,79.0,76.0,73.2,72.3,72.14,72.62
Juventus,Verona,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96,78.0,78.0,81.0,74.0,74.3,74.33,74.67,74.25
Juventus,Sassuolo,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96,82.0,77.0,75.0,81.0,71.4,73.56,76.75,73.36
Juventus,Venezia,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96,74.0,72.0,76.0,70.0,69.78,68.22,70.0,69.22
Juventus,Sampdoria,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96,82.0,79.0,74.0,78.0,72.0,74.89,76.8,74.22
Juventus,Genoa,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96,78.0,76.0,76.0,82.0,72.75,72.1,75.33,72.8
Juventus,Cagliari,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96,80.0,77.0,80.0,81.0,70.13,71.4,76.5,71.88
Juventus,Salernitana,87.0,84.0,87.0,88.0,81.7,80.89,82.6,81.96,74.0,73.0,73.0,73.0,66.8,67.88,69.67,67.79
