84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,75.0,74.0,72.0,69.0,67.75,69.63,68.43,68.0,0.0
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,87.0,85.0,83.0,83.0,76.33,76.69,82.0,77.57,0.0
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,83.0,77.0,83.0,85.0,75.2,73.5,76.4,75.53,0.0
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,76.0,78.0,74.0,71.0,70.33,69.86,67.0,69.0,0.0
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,72.0,74.0,74.0,82.0,70.25,66.25,66.0,68.38,0.5
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,85.0,85.0,85.0,88.0,82.0,80.73,83.0,81.33,0.5
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,80.0,78.0,80.0,84.0,73.25,73.83,72.8,73.65,0.5
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,74.0,73.0,74.0,72.0,68.75,71.6,70.75,70.0,1.0
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,72.0,76.0,74.0,72.0,71.88,73.17,71.0,72.0,1.0
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,74.0,83.0,74.0,81.0,69.43,70.22,66.83,69.0,1.0
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,74.0,73.0,73.0,72.0,68.33,67.38,62.38,65.82,1.0
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,81.0,84.0,78.0,53.0,68.33,72.4,71.0,70.9,1.0
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,92.0,84.0,87.0,87.0,78.43,75.33,86.25,78.42,1.0
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,85.0,82.0,88.0,79.0,80.0,75.71,78.63,77.24,1.0
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,78.0,77.0,74.0,70.0,69.25,71.29,67.83,69.08,1.0
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,83.0,80.0,81.0,83.0,77.75,77.88,80.5,78.76,1.0
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,72.0,80.0,74.0,81.0,70.56,72.5,72.0,71.21,1.0
84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,75.0,80.0,74.0,80.0,71.56,74.14,71.8,72.78,1.0
74.0,73.0,74.0,72.0,68.75,71.6,70.75,70.0,84.0,86.0,76.0,79.0,72.25,76.73,74.33,75.19,0.0
74.0,73.0,74.0,72.0,68.75,71.6,70.75,70.0,74.0,83.0,74.0,81.0,69.43,70.22,66.83,69.0,0.0
74.0,73.0,74.0,72.0,68.75,71.6,70.75,70.0,81.0,84.0,78.0,53.0,68.33,72.4,71.0,70.9,0.0
74.0,73.0,74.0,72.0,68.75,71.6,70.75,70.0,75.0,74.0,72.0,69.0,67.75,69.63,68.43,68.0,0.0
74.0,73.0,74.0,72.0,68.75,71.6,70.75,70.0,85.0,85.0,85.0,88.0,82.0,80.73,83.0,81.33,0.0
